"vtkOriginalPointIds","Points:0","Points:1","Points:2"
2,-6.000000953674316,-5.283389091491699,2.3099396228790283
3,-5.999998092651367,-3.283388614654541,2.3099396228790283
6,-6.000001907348633,-5.283388614654541,4.309939384460449
7,-5.999999523162842,-3.283389091491699,4.309939384460449
37,-5.999999046325684,-4.283388614654541,2.3099396228790283
38,-6.000001430511475,-5.283389091491699,3.3099396228790283
39,-5.999998569488525,-3.28338885307312,3.3099396228790283
43,-6.000000953674316,-4.283389091491699,4.309939384460449
96,-6.0,-4.283389091491699,3.3099396228790283
